DISCOS,formato,estrellas (sobre 5),comentarios,,,
Eskorbuto - Eskizofrenia,CD,3,,,,
Eskorbuto - Anti Todo,CD,4,,,,
Exhorder - Slaughter In The Vatican,CD,2,,,,
Exhorder - The Law,CD,2,,,,
Exodus - Tempo of the Damned,CD,3,,,,
Exodus - Blood In Blood Out,CD,2,,,,
"Explosions in the Sky - Those Who Tell The Truth Shall Die, Those Who Tell The Truth Shall Live Forever",CD,3,,,,
Explosions in the Sky - The Earth is not a Dead Cold Place,CD,5,,,,
"Extremoduro - Yo, Minoría Absoluta",CD,,,,,
Extremoduro - Para Todos los Públicos,CD,,,,,
The Fall of Troy - Dopplegänger,CD,3,,,,
Fishmans - Long Season,CD,2,,,,
The Flaming Lips - The Soft Bulletin,CD,2,,,,
The Flaming Lips - Yoshimi Battles the Pink Robots,CD,5,,,,
Fleet Foxes - Fleet Foxes,CD,2,,,,
Fleetwood Mac - Rumours,CD,2,,,,
Fleshwater - We're Not Here to Be Love,CD,3,,,,
Frank T - 90 Kilos,CD,3,,,,
Frank Zappa - Hot Rats,CD,3,,,,
Frutería Toñi - El Porvenir Está en las Huevas,CD,3,,,,
Gatillazo - Dianas Legales,CD,3,,,,
Gang of Four - Entertainment!,CD,3,,,,
The Garden - Haha,CD,3,,,,
The Garden - Kiss My Super Bowl Ring,CD,3,,,,
The Garden - Horseshit on Route 66,CD,5,,,,
Gavin Bryars - The Sinking of the Titanic,CD,3,cover con el edificio (the sinking of the titanic como primer tema),,,
Gentle Giant - Octopus,CD,5,cover original,,,
Godspeed You! Black Emperor - Luciferian Towers,CD,3,,,,
Gorguts - Colored Sands,CD,2,,,,
Gorguts - Obscura,CD,2,,,,
Gojira - Terra Incognita,CD,2,,,,
Gojira - From Mars To Sirius,CD,5,,,,
Gojira - The Way of All Flesh,CD,2,,,,
Gojira - L'Enfant Savauge,CD,2,,,,
Gorillaz - Demon Days,CD,2,,,,
Gorillaz - Plastic Beach,CD,3,,,,
Gorillaz - Cracker Island,CD,2,,,,
Ground-Zero - Consume Red,CD,4,,,,
Grouper - A I A : Alien Observer,LP,2,,,,
Gustavo Cerati - Bocanada,CD,4,,,,
Have a Nice Life - Deathconsciousness,Boxset,3,,,,
Heilung - Ofnir,CD,3,,,,
Hella - Hold Your Horse Is,CD,4,,,,
Her's - Songs of Her's,CD,4,,,,
Hervie Hancock - Head Hunters,CD,3,,,,
Idles - Brutalism,CD,4,,,,
Idles - Tangk,CD,3,,,,
Igorrr - Savage Sinusoid,CD,3,,,,
In Flames - The Jester Race,CD,3,,,,
Iron Maiden - Iron Maiden,CD,3,cover original,,,
J Dilla - Donuts,CD,2,cover original,,,
Jeff Buckley - Grace,CD,4,,,,
Jeff Rosenstock - Worry.,"CD, LP",4,,,,
Jesu - Jesu,CD,2,,,,
Jimi Hendrix - Are You Experienced,CD,2,version americana,,,
Joanna Newsom - Ys,CD,2,,,,
Joey Valence & Brae - No Hands,"CD, LP",4,,,,
John Coltrane - Giant Steps,CD,3,,,,
Joni Mitchell - Blue,CD,2,,,,
Julee Cruise - Floating Into the Night,CD,3,,,,
Jungle Rot - Jungle Rot,CD,2,,,,
Kanye West - My Beautiful Dark Twisted Fantasy,CD,3,,,,
Kase.O Jazz Magnetism - Kase.O Jazz Magnetism,CD,3,,,,
Kate Bush - Hounds of Love,CD,3,,,,
King Gizzard and the Lizard Wizard - I'm In Your Mind Fuzz,CD,4,,,,
King Gizzard and the Lizard Wizard - Flying Microtonal Banana,CD,4,,,,
King Gizzard and the Lizard Wizard - Butterfly 3000,CD,4,,,,
Kraftwerk - Trans Europe Express,CD,4,"cover 2009, version en ingles",,,
Kraftwerk - Computer World,CD,4,,,,
Kreator - Endless Pain,CD,2,,,,
Kreator - Pleasure to Kill,CD,3,,,,
Kreator - Terrible Certainty,CD,2,,,,
La M.O.D.A. - La Primavera del Invierno,CD,3,,,,
La M.O.D.A. - Salvavida (De las Balas Perdidas),CD,3,,,,
La Plata - Desorden,CD,3,,,,
Lamb of God - Ashes of the Wake,CD,3,,,,
Led Zeppelin - Led Zeppelin,CD,2,,,,
Leftöver Crack - Fuck World Trade,CD,3,,,,
Lendakaris Muertos - Lendakaris Muertos,CD,1,,,,
Lendakaris Muertos - Se Habla Español,CD,1,,,,
"Lendakaris Muertos - Vine, Vi y me Vendí",CD,1,,,,
Lendakaris Muertos - Cicatriz en la Matrix,CD,1,,,,
Lendakaris Muertos - Podrán Cortar la Droga Pero No la Primavera,CD + DVD,1,,,,
Lift to Experience - The Texas-Jerusalem Crossroads,CD,3,,,,
Lightning Bolt - Ride the Skies,CD,2,,,,
Lightning Bolt - Wonderful Rainbow,CD,4,,,,
Lightning Bolt - Fantasy Empire,CD,2,,,,
