stars,artist,disc
3,Tim Hecker,"Ravedeath, 1972"
3,Tool,Lateralus
3,Touché Amoré,Stage Four
3,Venetian Snares,Rossz csillag alatt született
3,Venom,Welcome To Hell
3,Violadores del Verso,Vicios y Virtudes
3,Voivod,Killing Technology
3,Weather Report,Heavy Weather
3,Whitehouse,Bird Seed
3,Wormrot,Dirge
4,A Silver Mt. Zion ?,"He Has Left Us Alone, But Shafts Of Light Sometimes Grace The Corner Of Our Rooms"
4,Acid Bath,When the Kite String Pops
4,Alcest,Souvenirs d'un autre monde
4,alt,J
4,Animales Muertos,Animales Muertos
4,Aphex Twin,drukqs
4,Arctic Monkeys,Favourite Worst Nightmare
4,Arpaviejas,Ladrón de Almas
4,Baptists,Bushcraft
4,"Black Country, New Road",Ants From Up There
4,Boris,Amplifier Worship
4,Boris,Pink
4,Burzum,Filosofem
4,Califato ¾,Puerta de la Canne
4,Chicharrica,Quiero Romper
4,Choking Victim,No Gods / No Managers
4,Crystal Castles,Crystal Castles
4,Daughters,Daughters
4,Daughters,You Won't Get What You Want
4,Death,Human
4,Death,Leprosy
4,Descendents,Milo Goes to College
4,Distorsión,¡Ké Buen Dios!
4,Electric Wizard,Funeralopolis
4,Eskorbuto,Anti Todo
4,Gustavo Cerati,Bocanada
4,Hella,Hold Your Horse Is
4,Her's,Songs of Her's
4,Idles,Brutalism
4,Jeff Buckley,Grace
4,Jeff Rosenstock,Worry.
4,King Crimson,Red
4,King Gizzard and the Lizard Wizard,Butterfly 3000
4,King Gizzard and the Lizard Wizard,Flying Microtonal Banana
4,King Gizzard and the Lizard Wizard,I'm In Your Mind Fuzz
4,Kraftwerk,Computer World
4,Kraftwerk,Trans Europe Express
4,Lightning Bolt,Wonderful Rainbow
4,Lykathea Aflame,Elvenefris
4,Meshuggah,"Destroy, Erase, Improve"
4,Morbid Angel,Gateways to Annihilation
4,Napalm Death,From Slavement to Obliteration
4,Ni Por Favor Ni Ostias,Ni Pa Kaldo...
4,Nymphomatriarch,Nymphomatriarch
4,Operation Ivy,Energy
4,Opeth,In Cauda Venenum
4,Opeth,Still Life
4,Philip Glass,Glassworks
4,Primus,Sailing the Seas of Cheese
4,Repulsion,Horrified
4,Robe,Lo que Aletea en Nuestras Cabezas
4,Robe,Mayéutica
4,Steve Reich,Music for 18 Musicians
4,Stevie Wonder,Songs in the Key of Life
4,Sunn O))),Monoliths and Dimensions
4,Swans,Leaving Meaning
4,Swans,The Beggar
4,Swans,The Glowing Man
4,Swans,White Light From the Mouth of Infinity
4,Talk Talk,Spirit of Eden
4,Terrorizer,World Downfall
4,The Arrogant Sons of Bitches,Three Cheers of Disappointment
4,The Cure,Disintegration
4,The Postal Service,Give Up
4,The Smile,A Light for Attracting Attention
4,Tool,Fear Inoculum
4,Triángulo de Amor Bizarro,Salve Discordia
4,tricot,T H E
4,Violadores del Verso,Vivir Para Contarlo
4,Voivod,Dimension Hatröss
4,Voivod,Nothingface
4,Will Wood & The Tapeworms,Self
4,William Basinski,The Disintegration Loops
4,??? (Midori),"???????????????????? (Aratamemashite, Hajimemashite, Midori Desu)"
5,Black Midi,Schlagenheim
5,Explosions in the Sky,The Earth is not a Dead Cold Place
5,Gentle Giant,Octopus
5,Gojira,From Mars To Sirius
5,Meshuggah,Nothing (version original)
5,Naked City,Torture Garden
5,R.I.P.,No Te Muevas!
5,Sin Dios,Alerta Antifascista
5,The Caretaker,Everywhere at the End of Time 1
5,The Flaming Lips,Yoshimi Battles the Pink Robots
5,The Garden,Horseshit on Route 66
-1,Batushka,Panihida
-1,Extremoduro,Para Todos los Públicos
-1,Extremoduro,"Yo, Minoría Absoluta"
